file,text_bm,text_nn,start,end,duration,date,proceedingsfile
stortinget-20111220-122700_0_28800,har alt etter meg at det er en særdeles krevende prosess som nå pågår også syns jeg faktisk også at nå har vi en ny ledelse på plass som har eee hatt eee vært på jobb i vel en uke jeg mener faktisk at både den ledelsen og det nye styret som ble eee valgt for veldig kort tid siden må få en mulighet til å jobbe sammen med de tillitsvalgte og de ansatte for både å få gode prosesser innad,gir alt dette meg at det er ein særdeles krevjande prosess som no pågår og så synest eg faktisk også at nå har vi ein ny ledelse på plass som har eee hatt eee vore på jobb i vel ein uke eg meiner faktisk at både den ledelsen og det nye styret som blei eee valt for veldig kort tid sidan må få ein mulighet til å jobbe saman med dei tillitsvalde og dei ansette for både å få gode prosessar innad,0.0,28.8,28.8,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_28800_58800,i omstillingsprosessen men også utad mot befolkningenog siste replikant i denne replikkrunden er representanten laila dohveitavey vær så god takk president eee det er en stor og krevende prosess eee som pågår ved oslo universitetssykehus det er vi alle helt klar over samtidig så så er der en god del bekymring knyttet til det som skjer i disse dagene med en del eee kutt i tilbud,i omstillingsprosessen men også utad mot befolkninga og siste replikant til denne replikkrunden er representanten leila dove tove ver så godtakk president eee det er ein stor og krevjande prosess eee som pågår ved oslo universitetssykehus det er vi alle heilt klare over samtidig så så er det ein god del bekymring knytt til det som skjer i desse dagar med ein del kutt i tilbod,28.8,58.8,29.999999999999996,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_58800_80700,innenfor både rus og psykiatri og barne og unge når det gjelder spesielt psykisk helse så har jeg nylig eee skrevet et skriftlig spørsmål til statsråden som han skal svare på så vi skal ikke ta det i dag men vi leste i aftenposten var for et par dager siden at det foregår en stilling nedleggelse av barnet sykehus eee ved ullevål og mitt spørsmål er hva de i forbindelse med,en for både rus og psykiatri og barn og unge når det gjeld spesiellt psykisk helse så har eg nylig skrevet eit skriftleg spørsmål til statsråden som hon skal svare på så eg skal ikkje ta det i dag men vi leste i aftenposten berre for eit par dagar sidan at det foregår ein stille nedleggelse av barnesykehus ved ullevold og mitt spørsmål er har dei i forbindelse med,58.8,80.7,21.900000000000006,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_80700_102600,fusjonsprosessen i oslo universitetssykehus var planlagt at barnesykehuset og at barneavdelingene ved oslo universitetssykehus rett og slett skulle avvikles og at at barna da skal måtte eee ligge i voksenavdeling er det en del av prosessen at det skulle være slik bli slik annige rettstrmeriksen vær så godt,fusjonsprosessen i oslo universitetssykehus vert planlagt at barnesykehuset og at barneavdelingene ved oslo universitetssykehus rett og slett skulle avviklast og at at barna då skal måtte eee ligge i vaksneavdelinga er det ein del av prosessen at det skulle vere slik bli slik anne grete trn eriksen ver så god president,80.7,102.6,21.89999999999999,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_102600_130000,eee det er mange prosesser som foregår men selvfølgelig skal barn fremdeles behandles i eee på eee oslo universitetssykehus mye av funksjonene samles på rikshospitalet eee og eee så får jeg heller komme tilbake i svar hvis eee det er dette representanten davi har stilt meg spørsmål om jeg har fått mange spørsmål fra stortinget eee like før jul og skal svare prøve og svare for alle eee før e eee,eee det er mange prosessar som forgår men selvfølge lika barn framdeles behandlast i eee på eee oslo universitetssjukehus mye og funksjonar samlast på riksosbetalet eee og eee så får eg heller komme tilbake i svar viss det er dette representanten dove har stilt med spørsmål om eg har fått mange spørsmål frå at stortinget eee like før jul og skal svare prøve og svare på alle eee før e eee,102.6,130.0,27.400000000000006,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_130000_157800,så er eee når det gjelder ruse psykiatri så er det klart at det og er eee området som vi har vært særlig opptatt av må ivaretas på en god måte derfor så bygges det opp eee nye tilbud det har vært bygget opp nye tilbud på aker en del av pasientene har vært eee en stor del av pasientene som har hørt til oslo universitetssykehus som lokalsykehus er overflyttet til ahus og noe av virksomheten er flyttet i og så har vi i tillegg vært gjm en budsjettprosess men,så er eee når det gjeld rus og psykiatri så er det klart at det og er eee område som vi har vore særleg opptatt av må ivaretas på ein god måte derfor så byggest det opp nye tilbod ha vart bygget opp nye tilbod på akar ein del av pasientane har vore eee ein stor del av pasientane som har høyrt til oslo universitetssykehus som lokalsykehus er overflytta til ahus og noa virksomheten er flytte dit og så har vi i tillegg vore gjm ein budsjettprosess men,130.0,157.8,27.80000000000001,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_157800_185200,tilbudet til pasientene skal opprettholdes totalt sett det er det som er viktig da er tiden for replikkordskiftet omme og vi går tilbake til den ordinære talerlisten det er representanten thomas breen som er neste taler deretter sonja iren sjøli bren vær så god takk president oslo universitetssykehus har noen av fag og forskerbiljøer,tilbodet til pasientane skal oppretthaldast totalt sett det er det som er viktigda er tiden for replikkordskiftet omme og vi går tilbake til den ordinære talelistan det er representanten tomas breen som er neste talar deretter sonja iren sjøli bren ver så god takk president oslo universitetssjukehus har nokon av fag og forskemiljøer,157.8,185.2,27.399999999999977,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-095459_169800_173000,eee stadfester qqq,storden,169.8,173.0,3.1999999999999886,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-122700_185200_213900,de råder over store ressurser med sitt budsjett på sytten milliarder og sytten tusen ansatte de leverer gode tjenester for pasienter fra hele landet bakgrunnen for omstillinga var begrunna i flere forhold men det som har vært oppmerksom at det var en brei enighet om omstillinga i utgangspunktet president ingen av forutsetningene som lå til grunn for omstillinga har endra seg etter man har starta tvert imot så hører man daglig vitnesbyd om det haster med å få resultater av omstillingene eee,dei rådde over store ressursar med sitt budsjett på sytt milliardar og sytten tusen ansatte det leverer gode tenester for pasientar frå heile landet bakgrunnen for omstillinga var begrunna i fleire forhold men det som har vore å merkat var ein brei einigheit om omstillinga i utgangspunktet president ingen av forutsetningane som låg til grunn for omstillinga har endra seg etter ein har starta tvert imot så høyrer ein dagleg vitnesby ok var haste me å få resultat falv omstillingane eee,185.2,213.9,28.700000000000017,2011-12-20,2011-12-20_proceedings.txt
stortinget-20111220-095459_186200_192900,sevanaksjer qqq eee,er anere etter dette kroppen får sette,186.2,192.9,6.700000000000017,2011-12-20,2011-12-20_proceedings.txt
