file,text_bm,text_nn,start,end,duration,date,proceedingsfile
Stortinget-20131024-095509_149900_152200,dette for et ettersom,eeeeeee,149.9,152.2,2.299999999999983,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_157800_160200,vil spørre a,siste har,157.8,160.2,2.3999999999999773,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_177300_179800,tente foreslår,presidenten,177.3,179.8,2.5,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_386100_411200,stortingets møte er eee lovlig satt fra arbeiderpartiets stortingsgruppe foreligger søknad om permisjon for representanten gunvor eldegard i tiden fra og med fjerde november til og med femtende november for å delta i diferente nasjoners åttogsekstiende generalforsamling andre del i new york,sensen stortingets møte er eee lovleg sett for arbeidarpartiets stortingsgruppe foreligger søknad om permisjon for representanten gunvor eldegard i tida frå og med fjerde november til og med femtende november for å delta i dei forente nasjoners åtte og seksti ein generalforsamling andre del i nyork,386.1,411.2,25.099999999999966,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_411200_434200,denne søknad foreslås behandlet qqq straks og innvilget det anses vedtatt vararepresentanten arne helseth foreslås innkalt for å møte i tiden fra og med sjettende november til og med trettende november det anses vedtatt representanten abid raja vil fremsette et representantforslag abid raja,denne søknad foreslås behandlet straks og innvilget det anses vedtatt vararepresentanten arne helseth føreslåast innkalt for å møte i tida fram settande november til og med trettende november det anses vedtatt representanten abid radsja vil fremsette eit representantforslag av bidaa,411.2,434.2,23.0,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_440700_463000,takk president jeg har på vegne av eee representanten terje breivik og representanten pål fars pål farstad og meg selv er æren av å repre eee fremme representantforslag om innføring av lobbyregisterforslaget vil bli behandlet på vanlig reglementsmessig måte,takk president jeg har eee på vegner av eee representanten terje breivik og representanten på fos på farstad og meg selv eee erna å repre fremme representantforslag om innføring av lobbyregisterforslaget vil bli behandla på vanleg reglementsmessig måte,440.7,463.0,22.30000000000001,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_463400_481700,til behandling foreligger de saker som er oppført på dagsorden nummer åtte sak en valg av medlem til valgkomiteen presidenten ber om forslag på nytt med medlem av valgkomiteen anne tingelstad wøien,til behandling foreligger de saker som er oppført på dagsorden nummer åtte sak en valg av medlem til valkomiteen presidenten ber om forslag på nytt med medlem av valkomiteen ander tige sav ein,463.4,481.7,18.30000000000001,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_486300_511000,liv signe navarsete er foreslått som nytt medlem av valgkomiteen istedenfor anne tingelstad wøien foreligger flere forslag flere foreslag foreligger ikke og presidenten foreslår at det voteres på vanlig måte de som eee stemmer imot bes reise seg ingen har reist seg og liv signe navarsete er enstemmig valgt som nytt medlem av valgkomiteen,liv signe navarsete er foreslått som nytt medlem av valkomiteen i staden for anne tingelseav vegen for å ligge fleire forslag fleire forslag foreligger ikkje og presidenten foreslått å voterast på vanleg måte de som eee stemmer imot bes reise seg ingen har reist seg og liv signe navarsete er einsame vag som nytt medlem av av komiteen,486.3,511.0,24.69999999999999,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_516799_544200,sak to innstilling fra valgkomiteen om valg av medlemmer og varamedlemmer til nordisk råd ingen har bedt om ordet og saken qqq anses dermed som tas opp til votering ved et senere møte dubai lese sak tre først og så tar de votering på velge seg eee nå en eee,sak to innstilling frå valkomiteen om vag av medlemmer å vera medlemmar til i nordiske råd ingen har bedt om ordet og saka anses deime som tas opp til votering ved senere møte e de som sak tre først og så kar vi votert å bygge sett eee nå n eee,516.799,544.2,27.401000000000067,2013-10-24,2013-10-24_proceedings.txt
Stortinget-20131024-095509_544200_572000,såpass bra at det tror jeg kan fortsette sak tre innstilling fra stortingets presidentskap om fordeling av komiteene av rammeområder med budsjettkapitler og utkast til romertallsvedtak vedrørende forslag til statsbudsjettet for tjuefjorten ingen har bedt om ordet sak fire er ventende referat så kan vi gå til votering for nå er jeg alle til stede daruker uden c,såpass bra at det trur eg kan fortsette sak tre innstilling frå stortingets presidentskap om fordeling av komiteane og rammeområde med budsjettkapitla og utkast til romartalsvedtak veddrøne forslag til statsbudsjettet for tjuefjorten ingen har bedt om ordet sak fire er eit ettereforat så kan vi gå til votering for nå har jo au til ste auke den,544.2,572.0,27.799999999999955,2013-10-24,2013-10-24_proceedings.txt
