file,text_bm,text_nn,start,end,duration,date,proceedingsfile
Stortinget-20180928-125645_143500_146600,vi får letter altså,ifår like president så,143.5,146.6,3.0999999999999943,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_215800_244500,stortingets møte er eee lovlig satt det foreligger to permisjonssøknader fra kristelig folkepartis stortingsgruppe om permisjon for representanten hans fredrik grøvan fredag tjueåttende september for å delta i de forente nasjoners treogsyttende ordinære generalforsamling i new york fra kristelig folkepartis stortingsgruppe om sykepermisjon for representanten torhild bransdal fredag åtteogtjuende september disse søknadene foreslås behandlet straks og innvilget og det anses vedtatt,stortingets møte er eee lovlig satt det foreligger to permisjonssøknader frå kristeleg folkeparti stortingsgruppe om permisjon frå representanten hans fredrik røvand fredag tjueåttande september for å delta i de forente nasjonar treogsytti naud næringen ralforsamling i ny jørk frå kristeleg folkepartis stortingsgruppe om sykepermisjon for representanten torhild branstad fredag åtteogtjuande september desse søknadene foreslås behandla straks og innvigest og det anses vedtatt,215.8,244.5,28.69999999999999,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_244500_269500,vararepresentantene per sverre kvinlaug og tove velle haugland foreslås innkalt i for å møte i permisjonstiden det anses også vedtatt per sverri kvinlaug og tove velle haugland er til stede og vil ta sete fra statsministerens kontor foreligger følgende to brev til stortinget det første brevet datert trettende august tjueatten lyder endring i regjeringens sammensetning og endring blant statssekretærene,har representanten per sverre kvinnelag og tove welle haugland foreslås innkalt i for møtet i pervesjonstiden det anses også vedtatt her serer kvinneleg og tove veldig haugla ner til stede og vil ta sete frå statsministerens kontor førlege følgande to brev til stortinget det første brevet datert trettende august tjueatten lyder endring i regjeringas samansetning og endring blant statssekretærane,244.5,269.5,25.0,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_269500_298600,statsråd ble holdt på oslo slott trettende august tjueatten klokken tretten under ledelse av hans majestet kongen det ble truffet følgende vedtak statsråd per sandberg gis avskjed i nåde society en mediemanager harald tom nesvik utnevnes til statsråd og overtar styret av fiskerisaker i nærings og fiskeridepartementet statssekretær roy angelvik gis avskjed som statssekretær i femti prosent stilling fra statsråd per sandberg og utnevnes på nytt til statssekretær i femti prosent stilling,statsråd blei holdt på oslo slott trettande august tjueatten klokken tretten under ledelse av hans mai set kongen det blei truffet følgende vedtak statsråd per sandberg vis avskjed i nåde så seier eg til ein mide mennesker haga tom nesvik utnemnast til statsråd og overtar styret av fiskeritaket vid nærings og fiskeridepartementet statssekretær roy angelvik gis avskjed som statssekretær i femti prosent stilling for statsråd per sandberg og utnemnast på nytt til statssekretær i femti prosent stilling,269.5,298.6,29.100000000000023,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_298600_326600,for statsråd harald tom nesvik i nærings og fiskeridepartementet statssekretær roy angelvik fortsetter i femti prosent stilling for statsråd torbjørn røe isaksen i nærings og fiskeridepartementet statssekretær veronica isabel pedersen gis avskjed som statssekretær for statsråd per sandberg og utnevnes på nytt til statssekretær for statsråd harald tom nesvik i nærings og fiskeridepartementet alle endringene ovenfor skjer med virkning fra trettende august tjueatten klokken femten,får statsråd høyra tom nesvik i nærings og fiskeridepartementet statssekretær røy angelvik fortsette i femti prosent stilling frå statsråd torbjørn lø isaksen i nærings og fiskeridepartementet statssekretær veronika isabell pedersen gitt avskjed som statssekretær for statsråd per sandberg og utnemnes på nytt til statssekretær for statsråd hauge tom nesvik i nærings og fiskeridepartementet alle endringane ovanfor skjer med virkning frå trettende august tjueatten klokken femten,298.6,326.6,28.0,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_326600_355200,det andre brevet datert enogtredevte august tjueatten lyder endring i regjeringens sammensetning og endring blant statssekretærene statsråd ble holdt på oslo slott trettiførste august tjueatten klokken elleve under ledelse av hans majestet kongen det ble truffet følgende vedtak statsråd ketil solvikolsen gis avskjed i nåde statsråd terje søviknes gis avskjed i nåde statsråd jon georg dale overtar styret av samferdselsdepartementet,det andre brevet datert ein og trøste august tjueatten lyder endring i regjeringas samansetning og endring blant statssekretærene statsråden blei hålt forslå slått trettiførste august tjueatten klokkan elleve under ledelse av hans maset kongen det blei truffet følgende vedtak statsråd ketil solvikolsen gis avskjed i nåde statsråd terje søviknes i avskjed i nåde statsråd junger dale overtar styret av samferdselsdepartementet,326.6,355.2,28.599999999999966,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_355200_384100,stortingsrepresentant bård andre hoksrud utnevnes til statsråd og overtar styret av landbruks og matdepartementet stortingsrepresentant kjellbørge freiberg utnevnes til statsråd og overtar styret av olje og energidepartementet statssekretærene anders bjørnsen werp tommy skjervold og brage baklien gis avskjed som statssekretærer for statsråd ketil solvikolsen og utnevnes på nytt til statssekretærer for statsråd jon georg dale i samferdselsdepartementet,stortingsrepresentant bård andre hogsrud utnemnest til statsråd og overtar styret av landbruks og matdepartementet stortingsrepresentant kjell børge freiberg utnemnes til statsråd og overta styret av olje og energidepartementet statssekretærene anders bjørnsen werp tommy skjærvold og brage baklie nis avskjed som statssekretærer for statsråd ketil solvik olsen og utnemnast på nytt til statssekretærer for statsråd jon geur gale i samferdselsdepartementet,355.2,384.1,28.900000000000034,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_384100_413300,statssekretær hanne maren blåfjelldal gis avskjed som statssekretær for statsråd jon georg dale og utnevnes på nytt til statssekretær for statsråd bård andre hoksrud i landbruks og matdepartementet statssekretær ingvil smines try tybringgjedde gis avskjed som statssekretær for statsråd terje søviknes og utnevnes på nytt til statssekretær for statsråd kjellbørge freiberg i olje og energidepartementet statssekretær toril charlotte ulleberg reynolds,statssekretær hanne maren blåfjeldal i savskjedd som statssekretær for statsråd jon geu dale og utnemnast på nytt til statssekretær frå statsråd bård andre hoksru i landbruks og matdepartementet statssekretær ingvild mines ry tybring edde i sakskjeddt som statssekretær for statsråd terje støvknes og utnemnast på nytt til statssekretær for statsråd kjell berge freberg i olje og energidepartementet statssekretær torhild sjalotte ulleberg reinold,384.1,413.3,29.19999999999999,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_413300_442000,gis avskjed som statssekretær for statsråd tor mikkel wara og utnevnes på nytt til statssekretær for statsråd kjellbørge freiberg i olje og energidepartementet statssekretær roy angelvik gis avskjed som statssekretær for statsråd torbjørn røe isaksen og fortsetter som statssekretær i hundre prosent stilling for statsråd harald tom nesvik i nærings og fiskeridepartementet statssekretær veronica isabel pedersen gis avskjed som statssekretær for statsråd harald tom nesvik,gi sasje som statssekretær for statsråd eee tor mikkel wara og utnemnes på nytt til statssekretær for statsråd kjell børge freiberg i olje og energidepartementet statssekretær røy angelvik i eit avskjed som statssekretær for statsråd torbjørn isaksen og fortsetter som statssekretær i hundre prosent stilling for statsråd harald tom nesvik i nærings og fiskeridepartementet statssekretær ved ronika isabell pedersen i avskjed som statssekretær for statsråd harald tom nesvik,413.3,442.0,28.69999999999999,2018-09-28,2018-09-28_proceedings.txt
Stortinget-20180928-125645_442000_461800,i nærings og fiskeridepartementet gruppeleder anne bramo konstitueres som statssekretær for statsråd åse michaelsen i helse og omsorgsdepartementet alle endringene ovenfor skjer med virkning fra trettiførste august tjueatten klokken fjorten presidenten vil foreslå at de refererte brevene vedlegges protokollen og det anses vedtatt,i nærings og fiskeridepartementet gruppeleder anne bramå konstituere som statssekretær for statsråd åse michaelsen i helse og omsorgsdepartementet alle endringane ovanfor skjer med viking frå trettiførste august tjueatten klokken fjorten presidenten vil føreslå at det refererte brevet vedlegges protokollen og det anses vedtatt,442.0,461.8,19.80000000000001,2018-09-28,2018-09-28_proceedings.txt
