file,text_bm,text_nn,start,end,duration,date,proceedingsfile
Stortinget-20211026-095516_221100_223500,novelle har sinterklaas,nasen statsministeren,221.1,223.5,2.4000000000000057,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_254600_257100,det har edesetterige passeres,spora,254.6,257.1,2.5000000000000284,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_289800_319600,stortingets møte er lovlig satt fra statsministerens kontor foreligger følgende brev til stortinget datert tjueandre oktober tjuetjueen vedrørende planlagte endringer i departementsstrukturen endringer i ansvars ansvarsdelinga mellom statsrådene i nærings og fiskeridepartementet og utnevnelse av statssekretærer statsråd ble holdt på oslo slott tjueandre oktober tjuetjueen klokka elleve null null under ledelse av hans majestet kongen det ble truffet følgende vedtak statsråd bjørnar selnes skjæran,stortingets møte er lovlig satt frå statsministerens kontor føreligg følgende brev til stortinget datert tjueandre oktober tjuetjueein vedrørande planlagte endringar i departementsstrukturen endringa i ansvars ansvarsstillinga mellom statsrådane i nærings og fiskeridepartementet og utnemnelser av statssekretærar statsråden blei holdt på oslo slott tjueandre oktober tjuetjueein klokka elleve nullnull under redelse av hands meiste kongen det blei truffe eit følgande vedtak statsråd bjørnar elne skjæran,289.8,319.6,29.80000000000001,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_319600_349500,overtar fra samferdselsdepartementet styret av kyst og miljøavdelinga med unntak av de delene av avdelinga som har ansvaret for koordinering av samferdselsdepartementets arbeid med miljø og klimaspørsmål og ansvar for etatstyring av kystverket og senter for oljevern og maritimt miljø statsråd bjørnar selina skjæran overtar styret av maritim avdeling og ansvaret for prosjektet ocean space senter fra statsråd jan christian vestre i nærings og fiskeridepartementet statsråd bjørnar selnes skjæran har videre ansvaret for å koordinere satsinga på grunn skipsfart,overtar frå samferdselsdepartementet styre av kyst og miljøavdelinga med unntak av dei delane av avdelinga som har ansvar for kordineringa av samferdselsdepartementets arbeid med miljø og klimaspørsmål og ansvar for etatstyringa av kystverket og senter for oljevern og maritimt miljø statsråd bjørnar serne skjæran orda styra maritimavdeling og ansvaret for prosjektet olsen spesenter frå statsråd jan christen vestre i nærings og fiskeridepartementet statsråd bjørnar selnes skjæran har vidare ansvaret for å kordinere satsinga på grunn skipsfart,319.6,349.5,29.899999999999977,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_349500_377900,statsråd bjørnar selnes skjæran og statsråd jan kristian vestre har forvaltningsansvar for love i samsvar med vedlagte forslag følgende utnevnes til statssekretærer professor odmund løkensgaard hol statssekretær for statsråd ola borten mo i kunnskapsdepartementet fylkesråd kristina sigurstotter hansen statssekretær på statsråd bjørnar selnes skjæran i nærings og fiskeridepartementet fylkesråd bent joakim bensen statssekretær på statsråd odd rager enoksen i forsvarsdepartementet,statsråd bjørnar selnes skjæran og statsråd jan christian vestre har forvaltningsansvar for lova i samsvar med vedlagte forslag følgende utnemnast til statssekretærar professor odmund løkensgård hol statssekretær for statsråd ola bomo i kunnskapsdepartementet fylkesråd kristina sigurdsdotter hansen statssekretær og statsråd bjørnar selnes særen i nærings og fiskeridepartementet fylkesråd bent joakim bentsen statssekretær for statsråd og droger enoksen i forsvarsdepartementet,349.5,377.9,28.399999999999977,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_377900_406600,gruppeleder aleksander øren hen statssekretær for statsråd espenbarth eide klima og miljødepartementet leder for politikk og samfunnsavdelinga gunn karin jul statssekretær for statsråd bjørn arild gram i kommunal og moderniseringsdepartementet tjenesteleder ole henrik grat bjørvoldt statssekretær for statsråd ingvild kjerkol i helse og omsorgsdepartementet ordfører jon erik wika statssekretær for statsråd emilie engemehl i justis og beredskapsdepartementet statsadvokat hans petter aasen statssekretar,gruppeleder aleksander øren han statssekretær for statsråd espenbart eid klima og miljødepartementet leder for politikk og samfunnsavdelinga gunn karin jur statssekretær for statsråd bjørn arelgram i kommunal og moderniseringsdepartementet kjenesteleier ole henrik grat bjørhold statssekretær og statsråd ingvild kjerpe i helse og omsorgsdepartementet ordførar jon erik vica statssekretær for statsråd emilie enger mehl i justis og beredskapsdepartementet statsadvokat hans peter assen at eg tar,377.9,406.6,28.700000000000045,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_406600_436500,statssekretær for statsråd emilie engemehl i justis og beredskapsdepartementet politiske rådgiver erik sandsmark idsø statssekretær for statsråd emilie engemehl i justis og beredskapsdepartementet stillingene holdes åpne for statssekretærer som er ansatt i staten så lenge dem er statsråder og statssekretærer dersom dem er tilsatt i åremålsstilling forskyves utløpet av åremålet med en periode tilsvarende den tid dem har gjort tjeneste som statsråder eller statssekretærer alle endringene ovenfor skjer med ving virkning fra tjueandre oktober tjuetjueen,statssekretær for statsråd emilie enger mehl i justis og beredskapsdepartementet politiske rådgivar erik sandsmark idsø statssekretær for statsråd emilie enger mehl i justis og beredskapsdepartementet stillingane haldast opne for statssekretærar som er ansatte i staten så lenge dei er statsråda og statssekretærane dersom dei er tilsette i åremålsstilling forskyvast utløpet av åremålet med ein periode tilsvarande den tid dei har gjort tjenester som statsråda eller statssekretærar alle endringane ovenfor skjer med vin virkning frå tjueandre oktober tjuetjueein,406.6,436.5,29.899999999999977,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_436500_458900,klokka tolv null null det refererte brevet foreslås vedlagt protokollen det anses vedtatt statsråd jan kristian vestre vil overbringe to kongelige proposisjoner statsråd jan christian vestre eee president jeg har den ære på vegne av regjeringen å overbringe to kongelige proposisjoner,klokka tolv null null det refererte brevet foreslås vedlagt protokollen det anses vedtatt statsråd jan christian vestre vil overbringe to kongelige proposisjonarstatsråd jan christian vestre eee president eg har ein ære på vegner av regjeringa å overbringe to kongelege proposisjonar,436.5,458.9,22.399999999999977,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_458900_482100,midlertidig lov om kompensasjonsytelse for selvstendig næringsdrivende og frilansere som har mistet inntekt som følge av utbrudd av kovid nitten og endringer i statsbudsjettet tjuetjueen under arbeids og sosialdepartementet økonomiske tiltak i møte med pandemien kompensasjonsytelse for selvstendig næringsdrivende og frilansere permittering dagpenger omsorgspenger og arbeidsavklaringspenger,midlertid i lov om kompensasjonsytelse for sjølvstendig næringsdrivne og frilansarar som har mista eit inntekt som følge av utbrot av kovid nitten og endringar i statsbudsjettet tjuetjueein under arbeids og sosialdepartementet økonomiske tiltak i møte med pandemien kompensasjonsytelser for sjølvstendig næringsdrivande og frilansarar permitering dagpengar omsorgspengar og arbeidsavklaringspengar,458.9,482.1,23.200000000000045,2021-10-26,2021-10-26_proceedings.txt
Stortinget-20211026-095516_482100_511500,endringer i statsbudsjettet tjuetjueen under kommunal og moderniseringsdepartementet ekstra utbetaling til mottakere av bostøtte som hjelp til å dø dekke høye strømutgifter takk proposisjonene vil bli behandla på reglementsmessig måte presidenten vil opplyse om at finanskomiteen har sendt brev til presidentskapet med anmodning om utsettelse av fristene for budsjettbehandlinga sånn som dem er omtalt i forretningsorden paragraf førtitre,endringar i statsbudsjettet tjuetjueein under kommunal og moderniseringsdepartementet ekstra utbetaling til mottakarar av bustøtte som hjelp til å dø dekke høge strømmeutgiftertakk proposisjonene vil bli behandla på reglementsmessig måte presidenten vil opplyse om at finanskomiteen har sendt brev til presidentskapet med anmodning om utsettelse av fristen for budsjettbehandlinga sånn som dei me omtalt i forretningsorden paragraf førtitre,482.1,511.5,29.399999999999977,2021-10-26,2021-10-26_proceedings.txt
