file,text_bm,text_nn,start,end,duration,date,proceedingsfile
Stortinget-20190930-125500_62600_84100,stortingets møte er lovlig satt fra statsministerens kontor foreligger følgende brev til stortinget datert tredevte august tjuenitten endring av ministerbetegnelse i nærings og fiskeridepartementet nærings og fiskeridepartementet styres i dag av to statsråder den ene statsråden som styrer departementets fiskerisaker beteg som fiskeriminister,stortingets møte er lovleg sett frå statsministerens kontor forleg i følgende brev til stortinget datert traddefte august tjuenitten endring av ministerbetenelse i nærings og fiskeridepartementet nærings og fiskeridepartementet styrest i dag av to statsrådar den eine statsråden som styrer departementets fiskerisaker bete som fiskeriminister,62.6,84.1,21.499999999999993,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_84100_102700,for å tydeliggjøre fiskeriministerens ansvar på sjømatområdet er ministerbetegnelsen med virkning fra i dag endret til fiskeri og sjømatminister presidenten vil foreslå at refererte brev vedlegges protokollen og det anses vedtatt statsråd olaug v bollestad vil overbringe sju kongelige proposisjoner,for å tydeleggjere fiskeriministerens ansvar på sjømatområdet er ministerbetellelsen med viking frå i dag endre til fiskeri og sjømatminister presidenten vil foreslå at refererte brev vedlegges protokollen og det anses vedtatt statsråd ola ve ballestad vil åbringe sju vanglige proposisjonar,84.1,102.7,18.60000000000001,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_108100_133800,statsråd bolstad takk president den første proposisjonen med samtykke til ratifikasjon av frihandelsavtalen mellom efta statene og indonesia av sekstende desember totusenogåtte den neste proposisjonen er lov om behandling av opplysninger i kredittopplysningsvirksomhet kredittopplysningsloven den tredje er,statsråd båstad takk president den fyrste proposisjonen er samtykke til ratifikasjon av frihandelsavtale midler efter starten og indonesia av sekstende desember totusenogåtte den neste proposisjonen er lov om behandling av opplysningar i kridittopplysningsvirksomhet kridittopplysningsloven den treidje er,108.1,133.8,25.700000000000017,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_133800_160500,samtykke til å sette i kraft et protokoll til endring av skatteavtalen mell millom norge og sveits undertegna i oslo tjuende juni tjuenitten så er det endringer i bilansvarsloven verks verkområder ansvarsgrense med videre og så er det opphevelse av omstillingsloven også endringer i straffeprosessloven påtalemyndigheten,samtykke til å sette i kraft ein protokoll til endringa av skatteavtalen mellom melom noreg og sveits under tene i oslo tjuende juni tjuenitten så er det endringar i bilansvarslova verksveverkeområde ansvarsgrensene vidare og så er det opphevelse av omstillingslova og så endringar i straffelo prosesslova påtalemyndigheter,133.8,160.5,26.69999999999999,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_160500_187400,og så er det endringer i statsborgerloven med videre tilbakekall av statsborgerskap på grunn av uriktige opplysninger med videre proposisjonene vil bli behandlet på reglementsmessig måte til behandling foreligger de saker som er oppført på dagsorden nummer nittiseks sak en er referatreferatet er omdelt på representantenes plasser og publisert på salappen presidenten refererer bare sakenes vedtak,og så er det endringar i statsborgarloven med vidare tilbakekall og statsborgarskap på grunn av uriktige opplysningar med vidare proposisjonen har ler behandlet på reglementsmessig måte til behandling foreligger dei saker som er oppført på dagsen nummer nittiseks sak ein er referat referatet er omdelt på representantenes plasser og publisert på salappen presidenten refererer bare sakenes vedtak,160.5,187.4,26.900000000000006,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_187400_214300,fire hundre og tjuefem foreslås sendt finanskomiteen fire hundre og tjueseks fire hundre og tjuesju foreslås sendt justiskomiteen fire hundre og tjueåtte fire hundre og tjueni foreslås sendt kommunal og forvaltningskomiteen fire hundre og tredve foreslås sendt næringskomiteen fire hundre og trettien foreslås sendt næringskomiteen som forelegger sitt utkast til innstilling for utenriks og forsvarskomiteen til uttalelse før innstilling avgis fire hundre og trettito foreslås sendt næringskomiteen det anses,fire hundre og tjuefem foreslaat sendt finanskomiteen fire hundre og tjueseks fire hundre og tjuesju foreslås sendt justiskomiteen fire hundre og tjueåtte fire hundre og tjueni foreslås sendt kommunal og forvaltningskomiteen fire hundre og tredve foreslås sendt næringskomiteen fire hundre og trettiein foreslås sendt næringskomiteen som forelegger sitt utkast til innstilling for utandings og forsvarskomiteen til uttalelse før innstilling avgift og fire hundre og trettito foreslås sendt næringskomiteen det anses,187.4,214.3,26.900000000000006,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_214300_244300,vi er da kommet til avslutningen av det ett hundre og sekstitredje storting det andre storting i inneværende periode valgperiode presidenten vil gjerne si noe noer om virksomheten i den sesjonen som nå ligger bak oss det har vært et høyt aktivitetsnivå gjennom hele sesjonen og spørreinstituttet har vært hyppig benyttet på det nåværende tidspunkt er det levert inn to tusen tre hundre og femtitre skriftlige spørsmål fra representantene regjeringens medlemmer har besvart to hundre og sekstien spørsmål til ordinær spørretime,vi er da komme til avslutninga av det eitt hundre og sekstitredje storting det andre stortinget i innverande periode valperiode presidenten vil gjerne sin og nord om virksomheten i den sesjonen som nå ligg bak oss det har vart eit heit aktivitetsnivå gjennom heile sesjonen og spør instituttet har vore hyppig benyttet på det novade tidspunkt er det levert inn to tusen tre hundre og femtitre skriftlege spørsmål frå representantane regjeringas medlemmer har besvart to hundre og sekstiein spørsmål til ordinær spørjetime,214.3,244.3,30.0,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_244300_274300,ett hundre og førtisju hovedspørsmål i muntlig spørretime og femtini interpellasjoner komiteen har holdt til sammen ett hundre og fem høringer og det ble avgitt fire hundre og tjueseks innstillinger i løpet av sesjonen tjueatten tjuenitten et tall som er omtrent på nivå med tidligere sesjoner i sesjonen tjueatten tjuenitten ble det fremmet til sammen ett hundre og åttiseks representantforslag det var færre enn foregående sesjon men likevel det nest høyeste antall representantforslag det har vært i en sesjon i januar tjuenitten gikk kristelig folkeparti,eitt hundre og førtisju hovudspørsmål i muntleg spørjetime og femtini interpellasjonar komiteen vart til saman eitt hundre og fem høyringar og det blei avvist fire hundre og tjueseks innstillingar i løpet av sesjonen tjueatten tjuenitten eit tal som er omtrent på nivå med tidleg resesjonar i sesjonen tjueatten tjuenitten blei det fremme til saman eitt hundre og åttiseks representantforslag det var færre enn føregåande sesjon men likevel det mest høgste antalet representantforslag det vart i ein sesjon i januar tjuenitten gjekk kristeleg folkeparti,244.3,274.3,30.0,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_274300_303800,inn i regjeringssamarbeidet med høyre fremskrittspartiet og venstre regjeringen fikk med det et flertall bak seg i stortinget en overgang fra mindretallsregjering til flertallsregjering påvirker naturligvis den parlamentariske hverdagen det viser også statistikken for anmodningsvedtak tydelig i sesjonen tjuesytten tjueatten ble det vedtatt fire hundre og tjueni anmodninger til regjeringen i inneværende sesjon er antallet sunket til nittien stortinget behandlet en rekke forslag til lovendringer i resesjonen tjueatten tjuenitten,inn i regjeringssamarbeidet med høgre framstegspartiet og venstre regjeringa fekk med det seta bak seg i stortinget ein avgang frå mindretalsregjering til fleirtalsregjering påverkar naturlegvis den parlamentariske kvardagen det viser også statistikken for anmodningsvedtak tydeleg i sesjonen tjuesytten tjueatten blei det vedtatt fire hundre og tjueni anmodningar til regjeringa i innevernet sesjonen har antalet sunke til nittiein stortinget behandla ei rekke forsøg til lovendringar i resesjonen tjueatten tjuenitten,274.3,303.8,29.5,2019-09-30,2019-09-30_proceedings.txt
Stortinget-20190930-125500_303800_332600,blant de mest debatterte var forslagene til endring i abortloven og om lov om forbud mot hold av pelsdyr som begge ble behandlet torsdag trettende juni til sammen har stortinget behandlet ett hundre og førtiåtte preposi proposisjoner og tjuesju meldinger fra regjeringen denne sesjonen det har vært holdt tretten redegjørelser fra regjeringens medlemmer presidenten vil til slutt gjerne takke for innsatsen til alle som har vært involvert i stortingets virksomhet i året som gikk,blant dei mest debatterte var forslaga til endringar i abortloven og om lov og forbod mot hald av pelsdyr som begge blei behandla torstad trettende juni til saman har stortinget behandla eitt hundre og førtiåtte proposi proposisjonar og tjuesju meldingar frå regjeringa denne sesjonen det har vart halt tretten vedøelser frå regjeringas medlemmer presidenten vil til slutt gjerne takke for innsatsen til alle som har vore innoverte i stortingets virksomhet i året som gjekk,303.8,332.6,28.80000000000001,2019-09-30,2019-09-30_proceedings.txt
