file,text_bm,text_nn,start,end,duration,date,proceedingsfile
stortinget-20110202-095649_2m_68100_76300,tetteste,sakane,68.1,76.3,8.200000000000003,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_97600_113500,sjetnes sofalivet statsråd erdal potetsorter det har kartkomiteen ansattsidene president evanstone,stensen nekassa i kessete sine eremessene statsråd dering stensaker,97.6,113.5,15.900000000000006,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_119000_122000,det bra som nå har sepåmepresident altså,rianten tomas stensen sennesvika,119.0,122.0,3.0,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_183100_185700,eastenders sett for lovsatte,season,183.1,185.7,2.5999999999999943,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_334100_363600,stortingets møte er lovlig satt fra fremskrittspartiets stortingsgruppe foreligger søknad om sjukepermisjon fra representanten mette hanekamhaug fra og med annen februar og inntil videre men søknaden foreslås behandla straks og innvilga det anses vedtatt vararepresentanten jon georg dale foreslås innkalt for å møte i permisjonstida det anses vedtatt og jon georg dale er til stede og vil ta sete representanten bård hoksrud vil framsette et representantforslag hoksrud vær så god,stortingets møte er lovleg sett frå framstegspartiets stortingsgruppe for ligge søknad om sjukepermisjon for representanten mette hankamhau frå anane februar og inntil vidare men søk som foreslås behandla straks og innvilga anses vedtatt vararepresentanten jon ger dale foreslås innkalt for å møte i permisjonstida det anses vedtatt og jon g dalepresten og vil ta sete representanten bol hoksrud vil framsette eit representantforslag hoksrud ver så god,334.1,363.6,29.5,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_372100_401900,president på vegne av representantene jan henrik fredriksen ingebjørg godskesen arne sortevik aage starheim gjermen hagesæter og meg sjøl har jeg gleden av å sette fram forslag om snarest å sette i gang arbeidet med heving av ubåten u åtte sekstifire og fjerning av kvikksølasten på syvogsekstitonn takk og forslaget vil bli behandla på rep eee på reglementsmessig måte til behandling foreligger dem saker som er oppført på dagsorden nummer førtisju eee,president på vegner av representantane jan henrik fredriksen ingebø godskusen arne stoktevik og stadheim jermund hageseter og meg sjøl har eg glede sette fram forslag om snarast å sette i gang arbeidet med heving av ubåten u åtte sekstifire og fjerning av kviksølasten på sjuogsekstitomtakk og forslaget vil bli behandla på det eee på reglementsmessig måte til behandling foreligger den saka som er oppført på dagsorden nummer førtisju eee,372.1,401.9,29.799999999999955,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_401900_424600,og først har vi da muntlig spørretime stortinget mottok mandag meddele fra statsministerens kontor om at statsrådene mange ill metveit kleppa rigmor aasrud og hanne inger bjurstrøm ved møte til muntlig spørretime den annonserte regjeringsmedlemmer er til stede og vi er klar til å starte den muntlige spørretimen der med representanter som i tillegg til den forhåndsformelte ønsker å stille hovedspørsmål bes reise seg,og først har vi da muntleg spørjetime stortinget mottok manda medel frå statsministerens kontor om at statsrådene mangel metveit kleppe rimor aasrud og hanne inger bjurstrøm ved møte til muntlig spørretime der me avonserte regjeringsmedlemmene eftestøl og vi er klart å statte den muntlige spørretimen det med representantar som i tillegg til den fordomsformelde ønsker å stille hovudspørsmålet best reise seg,401.9,424.6,22.700000000000045,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_424900_445600,eee presidenten oppfatter at ingen har reist seg i den anledning eee og vi går da eee ved er da klart til å starte med første hovedspørsmål som er fra representanten bård hoksrud deretter stilles hovedspørsmål av representanten sylvi graham,eee presidenten oppfattar det er ingen av dei seg i den anledning eee og vi går da eee vidar da klart til å starte med første hovudspørsmål som er frå representanten bård eee hoksrud deretter stillast hovudspørsmålet av representanten sylvi gradhand,424.9,445.6,20.700000000000045,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_448800_473900,president spørsmålet mitt går til samferdselsminister magne meltveit kleppa i nittensytti så var vi nordens beste på trafikksikkerhet i nittenfemognitti føyk sverige forbi vårs og etter det så har fer sverige bare fortsatt å fyke langt forbi vår president nå er veiene i sverige faktisk førti prosent mer trafikksikre enn det veien i norge er i totusenogti,president spørsmålet mitt går til samferdsminister magny melle kløppe i nittensytti så var vi nordens beste på trafikksikkerheit i nitten femognitti føl sverige forbi voss og etter det så har f sverige bare fortsatt å fyke langt e forbi vårt president nå er vegne i sverige faktisk førti prosent meir trafikksikre enn det vegner i noreg er i totusenogti,448.8,473.9,25.099999999999966,2011-02-02,2011-02-02_proceedings.txt
stortinget-20110202-095649_2m_473900_502000,mista to hundre og ti pers personer livet i trafikken det vil si eee et eee eee passasjer eee pas passasjerkapasiteten i et mo i et eee i et eee i over et fly over haad fly av typen boin syv tre syv hvis så mange mennesker hadde omkommet i luftfarten eee ville dette aldri blitt akseptert men dessverre er det tydeligvis andre kriterier når det gjelder på veinettet i norge,mista to hundre og ti perso personar livet i trafikken det vil si eee eit passasjer eee kan se passasjerkapasiteten i eit mot i eit i eit i over eitt fly e o over halad fly av typen boy syv tresyv viss så mange menneske hadde omkomme i luftfarten eee ville dette aldri blitt akseptert men dessverre er det tydelegvis andre kriterie når det gjeld på vegnettet i noreg,473.9,502.0,28.100000000000023,2011-02-02,2011-02-02_proceedings.txt
