segmentid,sessionid,segmentindex,audiofilename,duration,proceedingsfile,transcriptionfile,matched,score,language,pos_start,pos_end,proceedings_text,transcription_text,missing_start_word,missing_end_word,wrong_match,wrong_language,low_quality
71882,101,263,stortinget-20110111-095653_2m_7155200_7178100,22.9,data/proceedings/2011-01-11_proceedings.txt,data/transcriptions/json/2011-01-11_transcription.json,1,0.9473684210526316,bm,13890,13927,"av hele vår grunnlov fram mot jubileet som kommer om ikke lenge. Denne saken gjelder opphevelse av de såkalte prerogativene, altså å frata Kongen makt gjennom instrukser til regjeringen, at Stortinget kunne gripe inn i så måte.",av hele vår grunnlov fram mot eee jubileet som kommer om ikke lenge president denne eee saken gjelder eee opphevelse av de såkalte prerogativer altså å frata kongen makt gjennom instrukser til regjeringen og at stortinget kunne gripe inn i så måte,,,,,
756583,1088,437,Stortinget-20201218-085533_11445400_11474500,29.1,data/proceedings/2020-12-18_proceedings.txt,data/transcriptions/json/2020-12-18_transcription.json,1,0.8333333333333334,bm,25151,25210,"og det er urovekkende at mange drosjesentraler nå fjerner beredskapen på natta, etter at driveplikten bortfalt fra 1. november. Det er forståelig at drosjesentralene gjør dette, for det har sammenheng med situasjonen med pandemien, men også med liberaliseringen av drosjenæringen, som stortingsflertallet har vedtatt. Det er helt utrolig at den liberaliseringen skulle komme midt oppe i den vanskelige situasjonen.",og president det er urovekkende at mange drosjesentraler nå fjerner beredskapen på natta etter at driveplikten fra første november bortfalt det er forståelig at drosjesentraler gjør dette for det er jo sammenheng med både situasjonen med pandemien men også liberaliseringa av drosjenæringa som stortingsflertallet har vedtatt det er helt utrolig at den liberaliseringa skulle komme midt opp i den vanskelige situasjonen,,,,,
789371,1126,272,Stortinget-20210504-095445_7206200_7231200,25.0,data/proceedings/2021-05-04_proceedings.txt,data/transcriptions/json/2021-05-04_transcription.json,1,0.9444444444444444,bm,15804,15858,"for vår håndtering. Regjeringen har også basert sin håndtering på læring fra andre land og faglige råd fra helsemyndighetene. Vi må erkjenne at ikke alle beslutninger, mange tatt under stor usikkerhet og tidspress, har vist seg å være like gode. Jeg setter derfor stor pris på kommisjonens anerkjennelse av at fleksibilitet, omstillingsevne og handlekraft",for vår håndtering regjeringen er og basert sin håndtering på læring fra andre land og faglige råd fra helsemyndighetene vi må erkjenne at ikke alle beslutninger mange tatt under stor usikkerhet og tidspress har vist seg å være like god jeg setter derfor stor pris på kommisjonens anerkjennelse av at fleksibilitet omstillingsevne og handlekraft,,,,,
411140,601,150,Stortinget-20160216-095534_4119600_4145600,26.0,data/proceedings/2016-02-16_proceedings.txt,data/transcriptions/json/2016-02-16_transcription.json,1,0.8157894736842105,bm,8766,8841,"de frykter for jobbene sine. Jeg synes regjeringen gjør altfor lite for dem. Det nytter ikke å snakke om mobilitet i arbeidsmarkedet når en kanskje mangler grunnleggende yrkesfaglig utdanning. Da må en sette i gang bedriftsintern opplæring. Det nytter ikke å snakke om at Norge må omstille seg når suksessfylte bedrifter ikke får sjansen til det fordi de tvinges til å si opp sin viktigste ressurs, nemlig arbeidskraften, på grunn av permitteringsreglene. Det skapes et",de frykter på å få jobba sine jeg syns regjeringa gjør altfor lite for dem for det nytter ikke snakke om mobilitet i arbeidsmarkedet når en kanskje mangler grunnleggende yrkesfaglig utdanning da må en sette i gang med driftsintern opplæring det nytter ikke snakk om at norge må omstille seg når suksessfylte bedrifter ikke får sjansen til det fordi de tvinges til å si opp sin viktigste ressurs nemlig arbeidskrafta på grunn av forkorte permitteringsregler det skapes et in,,,,,
269131,396,633,Stortinget-20131210-152424_8558400_8587600,29.2,data/proceedings/2013-12-10_proceedings.txt,data/transcriptions/json/2013-12-10_transcription.json,1,0.8467153284671532,bm,39192,39262,"i tiden som kommer, for vi ser at antall barn som trenger hjelp fra barnevernet, og alle saker som meldes inn, øker, og det har økt i tiden som har gått. Derfor er det viktig at vi ikke mister fokuset, men fortsatt har fokus på dette viktige området. Barn er først og fremst barn, og de fortjener det beste vi kan gi dem. Jeg er også veldig glad for de",eee i tiden som kommer eee fordi at vi ser at eee eee antall barn som eee trenger eee hjelp ifra barnevernet eee alle saker som meldes inn det øker og det har økt i eee i tiden som har gått og derfor så er det viktig at vi ikke mister fokuset eee men fortsatt har fokus på det viktige område barn er først og fremst barn og de fortjener det beste vi kan gi de,,,,,
103426,146,179,stortinget-20110510-095500_4600200_4619400,19.2,data/proceedings/2011-05-10_proceedings.txt,data/transcriptions/json/2011-05-10_transcription.json,1,0.9387755102040816,bm,9462,9510,"Det er dessuten viktig å påpeke at det trolig er forskjeller mellom fagmiljøer i oppfølgingen av studentene, og vi ser også av den tabellen Warloe henviser til, at det er forskjeller mellom de enkelte institusjonene. Forskningsbarometeret inkluderer gjennomsnittstall for det enkelte universitet, men viser ikke forskjeller mellom fagmiljøene.",det er dessuten viktig å påpeke at det trolig er forskjeller mellom fagmiljøer i oppfølging av studentene og vi ser jo også av den tabellen som valo henviser til at det er forskjeller mellom de enkelte institusjonene forskningsbarometeret inkluderer gjennomsnittstall for det enkelte universitet men viser ikke forskjeller mellom fagmiljøene,,,,,
490671,714,215,Stortinget-20170323-095515_5897300_5915400,18.1,data/proceedings/2017-03-23_proceedings.txt,data/transcriptions/json/2017-03-23_transcription.json,1,0.7,bm,12340,12380,støtte ledelsen i etaten slik at de har selvtillit og autoritet til å kunne gjennomføre et særdeles viktig vedtak som Stortinget har gjort med særdeles stor tilslutning. Høyres språk er nærpolitireform. En ønsker å skape inntrykk av nærhet. Realiteten er,støtte ledelsen i etaten slik at de har selvtillit og autoritet til å kunne gjennomføre et særdeles viktig vedtak som stortinget har gjort med særdeles stor tilslutning takkja takk neste taler er representanten per olaf lundteigen senterpartiet deretter jenny klinge,,,,,
55446,84,317,stortinget-20101119-095451_8603200_8631800,28.6,data/proceedings/2010-11-19_proceedings.txt,data/transcriptions/json/2010-11-19_transcription.json,1,0.5098039215686274,nn,17837,17878,"denne sal som har virket entusiastiske til forsøket. Det gjelder også innstillingen. Det er verdt å merke seg en hovedinnvending mot forsøk generelt, og det må gå på: Hva er hensikten? Hva er det man forsøker å oppnå med et forsøk?",deretter statsråd nava sepresident ein god debatt går mot slutten eee med unntaka representanten langeland er da få i denne sal som har verket entusiastisk for forsøket også gjeld det innstillinga det er vore å merke seg eee i ein hovudinnvending mot forsøk generelt og det må jo gå på kva er hensikta kvar er de ein forsøker å oppnå med eit forsøk,,,,,
857214,1224,731,Stortinget-20220421-095501_19380200_19392900,12.7,data/proceedings/2022-04-21_proceedings.txt,data/transcriptions/json/2022-04-21_transcription.json,1,0.782608695652174,bm,39388,39406,"tett på laget, tett rundt elevene, men gjøre det på en klok måte som også viser tillit til",tett på laget tett rundt elevene men gjøre det på en klok måte som også viser tillit til fagfolkaneste taler er statsråd tonje brenda deretter hege bare nyholt,,,,,
647267,925,407,Stortinget-20190514-095446_5506600_5526200,19.6,data/proceedings/2019-05-14_proceedings.txt,data/transcriptions/json/2019-05-14_transcription.json,1,0.832,nn,11018,11080,"Kva skjer om ein stat som er med i ein eventuell EU-hær, men ikkje i NATO, vert råka av åtak? Gitt at konflikten spreier seg til land i NATO, vil me kunne få eit stort dilemma opp mot artikkel 5 i NATO-traktaten. I går var eg på Bardufoss og fekk god informasjon om kva Forsvaret treng, då med fokus spesielt på Hæren.",kva skjer me ein stat som er med i ein eventuell eher men ikkje i nato blir råka av åtak gitt at konfliktar spreier seg til land i nato vil me kunna få eit stort dilemma opp mot artikkel fem i nato traktaten i går veg på bardufoss og fekk god informasjon om kva forsvaret treng og då mer fokus spesielt på hæren,,,,,
343688,506,910,Stortinget-20150217-095731_20905100_20933400,28.3,data/proceedings/2015-02-17_proceedings.txt,data/transcriptions/json/2015-02-17_transcription.json,1,0.8732394366197183,bm,44614,44685,"Vektøkningen vi ser i befolkningen i dag, er en folkehelseutfordring, og næringsdeklarasjon, hvor forbrukeren får kunnskap om kaloriinnhold i de ulike drikkevarene, kan føre til at forbrukerne tar sunnere valg. Det er i dag fullt mulig for produsenter av alkoholholdig drikk på frivillig grunnlag å merke produktet med næringsdeklarasjon og ingrediensliste, dersom de ønsker det. Flere alkoholholdige drikkevarer som selges i Norge, har i dag slik merking, og det er positivt.",vektøkningen med serie befolkningen i dag er en folkehelseutfordring og næringsdeklarering hvor forbruker for kunnskap om kaloriinnhold i de ulike drikkevarene kan føre til at forbrukerne tar sunn sunnere valg det er i dag fullt mulig for produsenter av alkoholholdig drikk på frivillig grunnlag og merke produkter med næringsdeklarasjon og ingrediensliste dersom de ønsker det flere alkoholholdige drikkevarer som selges i norge har i dag sånn merking og det er positivt,,,,,
762260,1095,13,Stortinget-20210203-095534_520700_540700,20.0,data/proceedings/2021-02-03_proceedings.txt,data/transcriptions/json/2021-02-03_transcription.json,1,0.8602150537634409,bm,551,594,"tydelig på at vi forventer at ledere og bedrifter viser moderasjon både når det gjelder lederlønninger, når det gjelder bonuser, og selvsagt også når det gjelder utbytter, og det er viktig at det er et godt samarbeid med arbeidstakerorganisasjonene hvis man må nedbemanne.",også slik at eee regjeringen er tydelig på at vi forventer at eee at ledere og bedrifter vi viser moderasjon både når det gjelder lederlønninger eee når det gjelder bonuser og selvsagt også når det gjelder utbytter og det er viktig at vi har et godt samarbeid med arbeidstakerorganisasjoner hvis man må nedbemanne,,,,,
228470,333,721,Stortinget-20130321-155514_9730400_9759700,29.3,data/proceedings/2013-03-21_proceedings.txt,data/transcriptions/json/2013-03-21_transcription.json,1,0.9583333333333334,bm,67898,67970,"Ved våre universiteter og høyskoler vil det være noen fremragende miljøer, mens andre er mer gjennomsnittlige, og de fremragende trenger ikke nødvendigvis å befinne seg bare ved de største institusjonene. Likevel er brorparten av de nye sentrene lokalisert ved våre store universiteter, de som i utgangspunktet har størst mulighet til å løfte seg internasjonalt. Konsentrasjon av slike miljøer om enkelte institusjoner vil være med på å gjøre disse institusjonene mer synlige internasjonalt.",ved våre universiteter og høyskoler vil det være noen framragende miljøer mens andre er mer gjennomsnittlig og de fremragende trenger ikke nødvendigvis å befinne seg bare ved de største institusjonene likevel er brorparten av de nye sentrene lokalisert ved våre store universiteter de som i utgangspunktet har størst mulighet til å løfte seg internasjonalt konsentrasjon av slike miljøer om enkelte institusjoner vil være med på å gjøre disse institusjonene mer synlig internasjonalt,,,,,
306161,454,418,Stortinget-20140617-205101_3871100_3899900,28.8,data/proceedings/2014-06-17_proceedings.txt,data/transcriptions/json/2014-06-17_transcription.json,1,0.8587570621468926,bm,103523,103608,"Jeg er av den oppfatning av planlegging i Norge er som et stigespill. Hvis man trår feil, kan man rutsje ned til start. Når vi nå har gått igjennom hele prosessen med planlegging av Follobanen og til og med er ferdig med KS 2, er det derfor på tide å sette spaden i jorden og begynne. Jeg er derfor glad for at en enstemmig komité fremmer et verbalforslag som gir et klart signal til departementet om å holde seg til den planen som er lagt,",jeg er av den oppfatning at planlegging i norge det er som et stigespill hvis man trår feil så kan man ruse ned til byen til start og det er derfor viktig når vi nå har gått igjennom hele prosessen med planlegging av follobanen og til og man ferdig med ks eee to da er det på tide å sette spaden i jorda begynne jeg er derfor glad for at en enstemmig komite fremmer et verbalforslag som gir et klart signal til departementet om å holde seg til den planen som er lagt,,,,,
155572,222,424,stortinget-20120214-095500_11720400_11738200,17.8,data/proceedings/2012-02-14_proceedings.txt,data/transcriptions/json/2012-02-14_transcription.json,1,0.5294117647058824,bm,26160,26188,"nå 5,3 ynglinger i Nordland fylke med et bestandsmål på ti. Med andre ord: Man ligger vesentlig under bestandsmålet for det fylket. Da har ikke rovviltnemnda i Nordland",etter vår vurdering vil man i år nå fem komma tre ynglinger i nordland fylke eee med eee eee med eee det er eee vi vi vil nå fem komma tre ynglinger i nordland fylke med et bestandsmål på ti andaman ligger altså vesentlig under bestandsmålet for det fylket,,,,,
292291,438,469,Stortinget-20140513-155506_7264600_7294100,29.5,data/proceedings/2014-05-13_proceedings.txt,data/transcriptions/json/2014-05-13_transcription.json,1,0.8111888111888113,nn,49529,49598,"det jo bør vera ein balanse mellom kva ein bør ytra, og respekt for religionen til menneske, må likevel religionskritikk verta ein sjølvsagt del av den offentlege debatten. Difor kjem Arbeidarpartiet til å støtta endringa av § 100. Eg har lyst til å avslutta med å seia at eg synest det har vore ei fin veke, først da me vedtok nynorsken for ei veke sidan. I dag tek me",eee og det bør jo vera ein balanse mellom kva ein bør ytra og respekt for relionen til menneske men likevel så må religionskritikk bli ein sjølvsagt del av den offentlege debatten difor så kjem arbeidarpartiet til å støtta endringa av paragraf hundre men president eg har lyst berre å avslutta med at eg synest det har vore ei fin veke først når me vedtok nynorsken for ei veka sidan og i dag så gjer me,,,,,
844314,1205,134,Stortinget-20220301-095508_3972500_3998600,26.1,data/proceedings/2022-03-01_proceedings.txt,data/transcriptions/json/2022-03-01_transcription.json,1,0.8734177215189873,bm,7267,7345,"Jeg forstår at man ikke ønsker å støtte vårt direkte forslag om ikke å delta i Beijing-OL, men det andre forslaget vårt, om en strategi der man kan drøfte ulike sider ved bruk av diplomatisk boikott, synes jeg det er litt vanskeligere å forstå at man ikke støtter. Betyr det at utenriksministeren mener det er umulig å se for seg en situasjon der boikott vil være et aktuelt virkemiddel? Strategien er veldig klar: Idretten bestemmer, og vi støtter",jeg forstår at man ikke ønsker å støtte vårt eee direkte forslag om å ikke delta i betingwl men det andre forslaget vårt om en strategi der man kan drøfte ulike sider ved bruk av diplomatisk boikott det syns jeg er litt vanskeligere å forstå betyr det at utenriksministeren mener det er umulig å sjå for seg en situasjon der boikott vil være et aktuelt virkemiddel ningsinter huitfeldt president strategien er jo veldig klar det idretten bestemmer og vi støtter op,,,,,
334410,490,114,Stortinget-20141216-095745_1597300_1618800,21.5,data/proceedings/2014-12-16_proceedings.txt,data/transcriptions/json/2014-12-16_transcription.json,1,0.8181818181818181,bm,2843,2885,"Og forskerne har heller ikke forsket på noe i Europa, det kom fram under høringen. Idrettsforbundet har heller ikke dokumentert sine påstander, det klarte de heller ikke. Ingen har klart å bevise dette, og ingen har forsket på Europa alene. Det er",og forskerne har heller ikke forska på no i europa det kom fram kom under høringen idsforbundet har heller ikke dokumentert sine påstander eee det klarte de heller ikke ingen har klart å bevise og ingen har forsket på europa aleine neste replikant er geir jørgen bekkevold,,,,,
364976,538,73,Stortinget-20150601-175542_1070900_1100300,29.4,data/proceedings/2015-06-01_proceedings.txt,data/transcriptions/json/2015-06-01_transcription.json,1,0.7473684210526316,bm,43450,43537,"i en god situasjon der vi har PST når det gjelder å ha ressurser for hånden på det operative området. Men nå tenker jeg på den daglige kontakten i distriktet. Jeg er glad for at statsråden og jeg, tror jeg, har samme intensjon når det gjelder taushetsplikt. Jeg har lest det som står i den nasjonale veilederen, og det som står i SaLTo-veilederen i Oslo. Jeg tror at hvis statsråden skulle jobbet med dette lokalt og hadde lest disse henvisningene om hvordan man skal holde seg til",eee i en god situasjon hvor vi har pst her i forhold til å ha eee ressurser for hånden på det operative men nå tenker jeg på den daglige kontakten på distriktet og så bare si også at jeg er glad for det eee at jeg tror statsråden har samme intensjon når det gjelder taushesplikt men får jeg si at når jeg har lest det som står i den nasjonale veilederen og står i salto veileder i oslo sånn så jeg jeg tror hvis statsråden hadde skulle jobbe med dette lokalt og hadde lest disse henvisningene og hvordan det står at man skal holde seg til,,,,,
693406,989,210,Stortinget-20200115-095608_5427600_5457200,29.6,data/proceedings/2020-01-15_proceedings.txt,data/transcriptions/json/2020-01-15_transcription.json,1,0.7692307692307692,bm,12820,12883,"De leverte et tilbud som kostet 147 mill. kr mer årlig enn den daværende kontrakten, mens Babcock leverte et tilbud som kostet 100 mill. kr mer enn den daværende kontrakten. Fra 1. juli 2019 har dermed de regionale helseforetakenes utgifter til flyambulansetjenesten økt fra ca. 400 til 500 mill. kr i året. Dette inkluderer ikke utgiftene knyttet til medisinsk bemanning med flysykepleiere og",de leverte et tilbud som koster hundre og syvogførti millioner kroner mer årlig enn den daværende kontrakten mens babcock leverte et tilbud som kosta ett hundre millioner kroner mer enn den daværende kontrakten fra første juli totusenognitten har dermed de regionale helseforetakenes utgifter til flyambulansetjenesten økt fra cirka fire hundre til fem hundre millioner kroner i året dette inkluderer ikke utgifter knytta til medisinsk bemanning med flyse flysykepleiere og leger,,,,,
712981,1028,786,Stortinget-20200512-115505_20873100_20902300,29.2,data/proceedings/2020-05-12_proceedings.txt,data/transcriptions/json/2020-05-12_transcription.json,1,0.9125,bm,45677,45757,"å fremme og vedta. Jeg skal likevel ikke dvele ved det i denne talen. Et gode i norsk politikk er at det ikke er tradisjon for å forkaste alle reformer som tidligere regjeringer har gjort, midt i et budsjettår. Det er nettopp for at man skal kunne ha et bærekraftig og langsiktig perspektiv. Det betyr at noen ganger lar vi reformer virke uten å ta en omkamp hver gang det byr seg en mulighet. Det betyr ikke at alle sakene",å fremme og vedta jeg skal likevel ikke dvele med det i denne salen et gode i norsk politikk er at det ikke er tradisjon for å forkaste alle reformer som tidligere regjeringer har gjort midt i et budsjettår dette nettopp for at man skal kunne ha et bærekraftig og langsiktig perspektiv det betyr at noen ganger så la vi reformer virke uten å ta en omkamp hver gang det byr så gen mulighet det betyr ikke at alle sakene,,,,,
752015,1084,856,Stortinget-20201214-095519_22375700_22400000,24.3,data/proceedings/2020-12-14_proceedings.txt,data/transcriptions/json/2020-12-14_transcription.json,1,0.8936170212765957,bm,51314,51384,"lærere er blitt lærerspesialister innenfor viktige områder som f.eks. begynneropplæring og andre helt grunnleggende ting i norsk skole. Vi har fått flere ansatte og flere pedagoger i barnehager i omtrent alle landets kommuner, og ikke minst har godt over 30 000 barn fått gratis kjernetid i barnehage. Det betyr at det er enda flere av dem som har aller størst behov for å gå i barnehage, som går i barnehage.",seksten hundre lærere har blitt lærerspesialister innafor viktige områder som for eksempel begynneropplæring og andre helt grunnleggende ting i norsk skole vi har fått flere ansatte og flere pedagoger i barnehagen i omtrent alle landets kommuner og ikke minst så har gått over tretti tusen barn fått gratis kjernetid i barnehage det betyr at det er enda flere av dem som har aller størst behov for å gå i barnehage som går i barnehage,,,,,
